Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tanzania,TZA,..,8.7,26.2,32.8,32.1,34.9,37.7,39.9,42.7,45.8,48.3,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Thailand,THA,..,82.1,99.6,99.9,99.9,99.8,99.9,100,100,99.9,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Timor-Leste,TLS,..,17.8,67.3,76.5,79.5,85.2,90.6,96,100,99.7,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Togo,TGO,..,17,44.7,46.8,48,50,52.5,54.1,55.7,57.2,59.2,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tonga,TON,..,85.6,100,97,98.2,99,98.4,99.9,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Trinidad and Tobago,TTO,..,91.3,100,100,100,100,100,100,100,100,98.7,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tunisia,TUN,..,94.8,99.9,100,100,99.8,100,99.9,99.9,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turkiye,TUR,..,99.9,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turkmenistan,TKM,..,99.6,100,100,100,100,99.9,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turks and Caicos Islands,TCA,88.7,95.6,100,100,100,100,100,99.4,100,99.9,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tuvalu,TUV,..,94.6,98.1,97.3,98.7,99,99.7,99.4,99.7,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uganda,UGA,..,7.4,18.5,26.7,32.4,41.9,41.3,42.1,45.2,47.1,51.5,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ukraine,UKR,100,99.1,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Arab Emirates,ARE,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,United States,USA,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uruguay,URY,..,97.6,99.7,99.7,99.8,99.8,99.9,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uzbekistan,UZB,..,99.6,99.9,99.9,100,100,100,100,99.9,100,100,..
